datetime,seat,variable,value
2022-01-27 15:46:29.482288,Moncrieff (QLD),Green,34.00
2022-01-27 15:46:29.482288,Moreton (QLD),Green,34.00
2022-01-27 15:46:29.482288,Oxley (QLD),Green,51.00
2022-01-27 15:46:29.482288,Petrie (QLD),Green,34.00
2022-01-27 15:46:29.482288,Rankin (QLD),Green,34.00
2022-01-27 15:46:29.482288,Ryan (QLD),Green,18.00
2022-01-27 15:46:29.482288,Wide Bay (QLD),Green,51.00
2022-01-27 15:46:29.482288,Wright (QLD),Green,51.00
2022-01-27 15:46:29.482288,Brand (WA),Green,34.00
2022-01-27 15:46:29.482288,Burt (WA),Green,51.00
2022-01-27 15:46:29.482288,Canning (WA),Green,34.00
